STATE,DISTRICT,COORDINATES
Maharashtra,Mumbai,"19.0760° N, 72.8777° E"
Maharashtra,Pune,"18.5204° N, 73.8567° E"
Maharashtra,Thane,"19.2183° N, 72.9781° E"
Maharashtra,Palghar,"19.6967° N, 72.7699° E"
Maharashtra,Nashik,"19.9975° N, 73.7898° E"
Maharashtra,Nagpur,"21.1458° N, 79.0882° E"
Maharashtra,Raigarh,"18.5158° N, 73.1822° E"
Maharashtra,Aurangabad,"19.8762° N, 75.3433° E"
Maharashtra,Ahmadnagar,"19.0948° N, 74.7480° E"
Maharashtra,Sangli,"16.8524° N, 74.5815° E"
Maharashtra,Solapur,"17.6599° N, 75.9064° E"
Maharashtra,Buldana,"20.5292° N, 76.1842° E"
Maharashtra,Yavatmal,"20.3899° N, 78.1307° E"
Maharashtra,Akola,"20.7002° N, 77.0082° E"
Maharashtra,Other States*,
Maharashtra,Satara,"17.6805° N, 74.0183° E"
Maharashtra,Kolhapur,"16.7050° N, 74.2433° E"
Maharashtra,Ratnagiri,"16.9902° N, 73.3120° E"
Maharashtra,Latur,"18.4088° N, 76.5604° E"
Maharashtra,Amravati,"20.9320° N, 77.7523° E"
Maharashtra,Nandurbar,"21.7469° N, 74.1240° E"
Maharashtra,Dhule,"20.9042° N, 74.7749° E"
Maharashtra,Osmanabad,"18.1853° N, 76.0420° E"
Maharashtra,Jalgaon,"21.0077° N, 75.5626° E"
Maharashtra,Chandrapur,"19.9615° N, 79.2961° E"
Maharashtra,Washim,"20.1119° N, 77.1313° E"
Maharashtra,Sindhudurg,"16.3492° N, 73.5594° E"
Maharashtra,Parbhani,"19.2608° N, 76.7748° E"
Maharashtra,Jalna,"19.8347° N, 75.8816° E"
Maharashtra,Hingoli,"19.7174° N, 77.1494° E"
Maharashtra,Gondiya,"21.4549° N, 80.1961° E"
Maharashtra,Bid,"18.9901° N, 75.7531° E"
Gujarat,Ahmadabad,"23.0225° N, 72.5714° E"
Gujarat,Surat,"21.1702° N, 72.8311° E"
Gujarat,Vadodara,"22.3072° N, 73.1812° E"
Gujarat,Rajkot,"22.3039° N, 70.8022° E"
Gujarat,Bhavnagar,"21.7645° N, 72.1519° E"
Gujarat,Anand,"22.5645° N, 72.9289° E"
Gujarat,Bharuch,"21.7051° N, 72.9959° E"
Gujarat,Gandhinagar,"23.2156° N, 72.6369° E"
Gujarat,Patan,"23.8500° N, 72.1210° E"
Gujarat,Banas Kantha,"24.3455° N, 71.7622° E"
Gujarat,Narmada,"21.7471° N, 72.1697° E"
Gujarat,Aravalli,"23.5205° N, 73.3709° E"
Gujarat,Panch Mahals,"22.8011° N, 73.5594° E"
Gujarat,Mahesana,"23.5880° N, 72.3693° E"
